feature_raw,feature_clean,feature_revised,revision,feature_domain,extra_domain/component,feature_component,feature_english,comments
-,-,geen,N/A,N/A,,N/A,N/A,
--,--,geen,N/A,N/A,,N/A,N/A,
?,?,geen,N/A,N/A,,N/A,N/A,
5 km per uur,5 km per uur,langzaam,SYN,Temporal,Speed (c),Slow,,
6 kilometer per uur,6 kilometer per uur,langzaam,SYN,Temporal,Speed (c),Slow,,
aan de kant,aan de kant,opzij,SYN,Spatial,,,,
aan de kant gaan,aan de kant gaan,opzij + gaan,SYN; MULT,Spatial,,,,
aan de kant voor iemand,aan de kant voor iemand,opzij + voor iemand,SYN; MULT,Spatial + Other,+ Person-Profession,,,
aan iets,aan iets,,,,,,,"inferred meaning: to swing ""on something"""
aankomst,aankomst,aanwezigheid,SYN,Other,,,,
aankondigen,aankondigen,,,Other,,,,verb response
aankondiging van aankomst,aankondiging van aankomst,aankondingen + aanwezigheid,SYN; MULT,+ Other,,,,verb response
aanwezigheid,aanwezigheid,,,Other,,,,
aanwezigheid tonen,aanwezigheid tonen,aanwezigheid + tonen,SYN; MULT,Other + ,,,,verb response
aap,aap,,,Other,Animal,,,
achter een rollator,achter een rollator,,,Other,Object,,,
actie,actie,,,Motor,+ Motion (c),,,
actief,actief,,,Motor,+ Motion (c),,,
activiteit,activiteit,actie,SYN,Motor,+ Motion (c),,,
afleiding,afleiding,,,Attention,,,,
afspraak,afspraak,,,Other,,,,
afstand,afstand,,,Spatial,,,,
afwijken,afwijken,,,,,,,verb response
alle kanten op,alle kanten op,,,Spatial,,,,
alle tijd,alle tijd,,,Drive/Temporal,Lacking (c)/,,,
alleen zijn,alleen zijn,,,Social,,,,
alles bij elkaar rapen,alles bij elkaar rapen,,,,,,,verb response
als een leeuw,als een leeuw,,,Other,Animal,,,
alternatief kiezen,alternatief kiezen,alternatief + kiezen,MULT,,,,,verb response
ambulance,ambulance,,,Other,Object,,,
anti,anti,=opzij?,SYN,Spatial,,,,
apen,apen,aap,SYN,Other,Animal,,,
arm,arm,armen,SYN,Motor,,,,
armbeweging,armbeweging,armen + actie,SYN; MULT,Motor + Motor,,,,
armen,armen,,,Motor,,,,
armen en benen,armen en benen,armen + benen,SYN: MULT,Motor + Motor,,,,
asfalt,asfalt,,,Other,Object,,,
auto,auto,,,Other,Object,,,
auto's,auto's,auto,SYN,Other,Object,,,
bakken,bakken,,,,,,,verb response
bakker,bakker,,,Other,Person-Profession,,,
bal,bal,,,Other,Object,,,
basisschool,basisschool,,,Other,,,,
bedachtzaam bewegen,bedachtzaam bewegen,bedachtzaam + bewegen,MULT,Cognition + Motor,+ Motion (c),,,verb response
